Model,Train_Accuracy,Test_Accuracy,Overfitting_Gap,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives
Random_Forest,0.8397435897435898,0.7692307692307693,0.07051282051282048,0.9545454545454546,0.7241379310344828,0.8235294117647058,0.903448275862069,9,1,8,21
Logistic_Regression,0.8525641025641025,0.7692307692307693,0.08333333333333326,0.9166666666666666,0.7586206896551724,0.8301886792452831,0.913793103448276,8,2,7,22
